"id","name","sequence","parent","balance_sheet","income_statement"
"es_balance_normal_32600","VI. Periodificaciones a corto plazo",32600,"es_balance_normal_32000",,
"es_balance_normal_32700","VII. Deuda con características especiales a corto plazo",32700,"es_balance_normal_32000",,
"es_balance_normal_30000","TOTAL PATRIMONIO NETO Y PASIVO (A + B + C)",30000,"es_balance_normal",,
"es_pyg_normal","PÉRDIDAS Y GANANCIAS NORMAL (PGCE 2008)",2,"es",,"True"
"es_pyg_normal_a","A) OPERACIONES CONTINUADAS",,"es_pyg_normal",,
"es_pyg_normal_40100","1. Importe neto de la cifra de negocios",40100,"es_pyg_normal_a",,
"es_pyg_normal_40110","a) Ventas",40110,"es_pyg_normal_40100",,
"es_pyg_normal_40120","b) Prestaciones de servicios",40120,"es_pyg_normal_40100",,
"es_pyg_normal_40200","2. Variación de existencias de productos terminados y en curso de fabricación",40200,"es_pyg_normal_a",,
"es_pyg_normal_40300","3. Trabajos realizados por la empresa para su activo",40300,"es_pyg_normal_a",,
"es_pyg_normal_40400","4. Aprovisionamientos",40400,"es_pyg_normal_a",,
"es_pyg_normal_40410","a) Consumo de mercaderías",40410,"es_pyg_normal_40400",,
"es_pyg_normal_40420","b) Consumo de materias primas y otras materias consumibles",40420,"es_pyg_normal_40400",,
"es_pyg_normal_40430","c) Trabajos realizados por otras empresas",40430,"es_pyg_normal_40400",,
"es_pyg_normal_40440","d) Deterioro de mercaderías, materias primas y otros aprovisionamientos",40440,"es_pyg_normal_40400",,
"es_pyg_normal_40500","5. Otros ingresos de explotación",40500,"es_pyg_normal_a",,
"es_pyg_normal_40510","a) Ingresos accesorios y otros de gestión corriente",40510,"es_pyg_normal_40500",,
"es_pyg_normal_40520","b) Subvenciones de explotación incorporadas al resultado del ejercicio",40520,"es_pyg_normal_40500",,
"es_pyg_normal_40600","6. Gastos de personal",40600,"es_pyg_normal_a",,
"es_pyg_normal_40610","a) Sueldos, salarios y asimilados",40610,"es_pyg_normal_40600",,
"es_pyg_normal_40620","b) Cargas sociales",40620,"es_pyg_normal_40600",,
"es_pyg_normal_40630","c) Provisiones",40630,"es_pyg_normal_40600",,
"es_pyg_normal_40700","7. Otros gastos de explotación",40700,"es_pyg_normal_a",,
"es_pyg_normal_40710","a) Servicios exteriores",40710,"es_pyg_normal_40700",,
"es_pyg_normal_40720","b) Tributos",40720,"es_pyg_normal_40700",,
"es_pyg_normal_40730","c) Pérdidas, deterioro y variación de provisiones por operaciones comerciales",40730,"es_pyg_normal_40700",,
"es_pyg_normal_40740","d) Otros gastos de gestión corriente ",40740,"es_pyg_normal_40700",,
"es_pyg_normal_40800","8. Amortización del inmovilizado",40800,"es_pyg_normal_a",,
"es_pyg_normal_40900","9. Imputación de subvenciones de inmovilizado no financiero y otras",40900,"es_pyg_normal_a",,
"es_pyg_normal_41000","10. Excesos de provisiones ",41000,"es_pyg_normal_a",,
"es_pyg_normal_41100","11. Deterioro y resultado por enajenaciones del inmovilizado",41100,"es_pyg_normal_a",,
"es_pyg_normal_41110","a) Deterioro y pérdidas",41110,"es_pyg_normal_41100",,
"es_pyg_normal_41120","b) Resultados por enajenaciones y otras",41120,"es_pyg_normal_41100",,
"es_pyg_normal_41200","12. Diferencia negativa de combinaciones de negocio",41200,"es_pyg_normal_a",,
"es_pyg_normal_41300","13. Otros resultados",41300,"es_pyg_normal_a",,
"es_pyg_normal_49100","A.1)  RESULTADO DE EXPLOTACIÓN (1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12 + 13)",49100,"es_pyg_normal",,
"es_pyg_normal_41400","14. Ingresos financieros",41400,"es_pyg_normal_a",,
"es_pyg_normal_41410","a) De participaciones en instrumentos de patrimonio",41410,"es_pyg_normal_41400",,
"es_pyg_normal_41411","a 1) En empresas del grupo y asociadas",41411,"es_pyg_normal_41410",,
"es_pyg_normal_41412","a 2) En terceros",41412,"es_pyg_normal_41410",,
"es_pyg_normal_41420","b) De valores negociables y otros instrumentos financieros",41420,"es_pyg_normal_41400",,
"es_pyg_normal_41421","b 1) De empresas del grupo y asociadas",41421,"es_pyg_normal_41420",,
"es_pyg_normal_41422","b 2) De terceros",41422,"es_pyg_normal_41420",,
"es_pyg_normal_41430","c) Imputación de subvenciones, donaciones y legados de carácter inanciero",41430,"es_pyg_normal_41400",,
"es_pyg_normal_41500","15. Gastos financieros",41500,"es_pyg_normal_a",,
"es_pyg_normal_41510","a) Por deudas con empresas del grupo y asociadas",41510,"es_pyg_normal_41500",,
"es_pyg_normal_41520","b) Por deudas con terceros",41520,"es_pyg_normal_41500",,
"es_pyg_normal_41530","c) Por actualización de provisiones",41530,"es_pyg_normal_41500",,
"es_pyg_normal_41600","16. Variación de valor razonable en instrumentos financieros",41600,"es_pyg_normal_a",,
"es_pyg_normal_41610","a) Cartera de negociación y otros ",41610,"es_pyg_normal_41600",,
"es_pyg_normal_41620","b) Imputación al resultado del ejercicio por activos financieros disponibles para la venta",41620,"es_pyg_normal_41600",,
"es_pyg_normal_41700","17. Diferencias de cambio",41700,"es_pyg_normal_a",,
"es_pyg_normal_41800","18. Deterioro y resultado por enajenaciones de instrumentos financieros",41800,"es_pyg_normal_a",,
"es_pyg_normal_41810","a) Deterioros y pérdidas",41810,"es_pyg_normal_41800",,
"es_pyg_normal_41820","b) Resultados por enajenaciones y otras",41820,"es_pyg_normal_41800",,
"es_pyg_normal_49200","A.2) RESULTADO FINANCIERO (14 + 15 + 16 + 17 + 18)",49200,"es_pyg_normal",,
