"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign3","invoice_tax_sign3","credit_note_base_sign3","credit_note_tax_sign3","invoice_base_sign4","invoice_tax_sign4","credit_note_base_sign4","credit_note_tax_sign4","invoice_account","credit_note_account","sequence","start_date","end_date","account_name","deducible","report_description","report_type","sii_book_key","sii_issued_key","sii_received_key","sii_intracomunitary_key","sii_subjected","sii_except_type","intra type",,
"iva_pymes_IC_compras_21_ser_2","IVA 21% Intracomunitario. Servicios (2)","iva_pymes_IC_compras_21_ser","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-21.0')","iva_pymes_dev_19","iva_pymes_dev_20","iva_pymes_dev_19","iva_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477021","pgc_pymes_477021",2260,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"suplido_pymes_compras","Suplido",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",2400,,,,"True",,,"R",,1,,,,,,
"suplido_pymes_ventas","Suplido",,"pgc_pymes_0","tax_group_sale_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",1230,,,,"True",,,"E",10,,,,,,,
"igic_pymes_X0_compras_bc","IGIC 0% Importaciones bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('0.0')","igic_pymes_ded_26_00","igic_pymes_ded_27_00","igic_pymes_ded_26_00","igic_pymes_ded_27_00",1,1,-1,-1,1,1,1,1,"pgc_pymes_472200","pgc_pymes_472200",4240,,,,"True","Factura exenta en virtud del artículo 25 de la ley 37/1992 del impuesto Sobre el Valor Añadido.",3,"R",,8,,,"E5",,,
"igic_pymes_X0_compras_bi","IGIC 0% Importaciones bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('0.0')","igic_pymes_ded_28_00","igic_pymes_ded_29_00","igic_pymes_ded_28_00","igic_pymes_ded_29_00",1,1,-1,-1,1,1,1,1,"pgc_pymes_472200","pgc_pymes_472200",4240,,,,"True","Factura exenta en virtud del artículo 25 de la ley 37/1992 del impuesto Sobre el Valor Añadido.",3,"R",,8,,,"E5",,,
"igic_pymes_X3_compras_bc","IGIC 3% Importaciones bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('3.0')","igic_pymes_ded_26_03","igic_pymes_ded_27_03","igic_pymes_ded_26_03","igic_pymes_ded_27_03",1,1,-1,-1,1,1,1,1,"pgc_pymes_472203","pgc_pymes_472203",4230,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X3_compras_bi","IGIC 3% Importaciones bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('3.0')","igic_pymes_ded_28_03","igic_pymes_ded_29_03","igic_pymes_ded_28_03","igic_pymes_ded_29_03",1,1,-1,-1,1,1,1,1,"pgc_pymes_472203","pgc_pymes_472203",4230,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X7_compras_bc","IGIC 7% Importaciones bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('7.0')","igic_pymes_ded_26_07","igic_pymes_ded_27_07","igic_pymes_ded_26_07","igic_pymes_ded_27_07",1,1,-1,-1,1,1,1,1,"pgc_pymes_472207","pgc_pymes_472207",4220,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X7_compras_bi","IGIC 7% Importaciones bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('7.0')","igic_pymes_ded_28_07","igic_pymes_ded_29_07","igic_pymes_ded_28_07","igic_pymes_ded_29_07",1,1,-1,-1,1,1,1,1,"pgc_pymes_472207","pgc_pymes_472207",4220,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X9_5_compras_bc","IGIC 9,5% Importaciones bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('9.5')","igic_pymes_ded_26_09_5","igic_pymes_ded_27_09_5","igic_pymes_ded_26_09_5","igic_pymes_ded_27_09_5",1,1,-1,-1,1,1,1,1,"pgc_pymes_472295","pgc_pymes_472295",4210,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X9_5_compras_bi","IGIC 9,5% Importaciones bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('9.5')","igic_pymes_ded_28_09_5","igic_pymes_ded_29_09_5","igic_pymes_ded_28_09_5","igic_pymes_ded_29_09_5",1,1,-1,-1,1,1,1,1,"pgc_pymes_472295","pgc_pymes_472295",4210,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X13_5_compras_bc","IGIC 13,5% Importaciones bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('13.5')","igic_pymes_ded_26_13_5","igic_pymes_ded_27_13_5","igic_pymes_ded_26_13_5","igic_pymes_ded_27_13_5",1,1,-1,-1,1,1,1,1,"pgc_pymes_472213","pgc_pymes_472213",4200,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_X13_5_compras_bi","IGIC 13,5% Importaciones bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('13.5')","igic_pymes_ded_28_13_5","igic_pymes_ded_29_13_5","igic_pymes_ded_28_13_5","igic_pymes_ded_29_13_5",1,1,-1,-1,1,1,1,1,"pgc_pymes_472213","pgc_pymes_472213",4200,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IO","IGIC 0% Intracomunitario",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('0.0')","base_pymes_intra_42_igic",,"base_pymes_intra_42_igic",,,,-1,-1,,,1,1,"pgc_pymes_4750_child","pgc_pymes_4750_child",1240,,,,"True",,3,"E",8,,,,,,,
"igic_pymes_IC_compras_3_bc","IGIC 3% Intracomunitario. Bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_472200","pgc_pymes_472200",4330,,,,"True",,,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_3_bc_1","IGIC 3% Intracomunitario. Bienes corrientes (1)","igic_pymes_IC_compras_3_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('3.0')","igic_pymes_ded_30_03","igic_pymes_ded_31_03","igic_pymes_ded_30_03","igic_pymes_ded_31_03",,,-1,-1,,,1,1,"pgc_pymes_472203","pgc_pymes_472203",4340,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_3_bc_2","IGIC 3% Intracomunitario. Bienes corrientes (2)","igic_pymes_IC_compras_3_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-3.0')","igic_pymes_dev_19","igic_pymes_dev_20","igic_pymes_dev_19","igic_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477203","pgc_pymes_477203",4350,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_3_bi","IGIC 3% Intracomunitario. Bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_472200","pgc_pymes_472200",4330,,,,"True",,,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_3_bi_1","IGIC 3% Intracomunitario. Bienes de inversión (1)","igic_pymes_IC_compras_3_bi","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('3.0')","igic_pymes_ded_32_03","igic_pymes_ded_33_03","igic_pymes_ded_32_03","igic_pymes_ded_33_03",,,-1,-1,,,1,1,"pgc_pymes_472203","pgc_pymes_472203",4340,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_3_bi_2","IGIC 3% Intracomunitario. Bienes de inversión (2)","igic_pymes_IC_compras_3_bi","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-3.0')","igic_pymes_dev_19","igic_pymes_dev_20","igic_pymes_dev_19","igic_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477203","pgc_pymes_477203",4350,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_7_bc","IGIC 7% Intracomunitario. Bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_472200","pgc_pymes_472200",4300,,,,"True",,,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_7_bc_1","IGIC 7% Intracomunitario. Bienes corrientes (1)","igic_pymes_IC_compras_7_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('7.0')","igic_pymes_ded_30_07","igic_pymes_ded_31_07","igic_pymes_ded_30_07","igic_pymes_ded_31_07",,,-1,-1,,,1,1,"pgc_pymes_472207","pgc_pymes_472207",4310,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_7_bc_2","IGIC 7% Intracomunitario. Bienes corrientes (2)","igic_pymes_IC_compras_7_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-7.0')","igic_pymes_dev_19","igic_pymes_dev_20","igic_pymes_dev_19","igic_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477207","pgc_pymes_477207",4320,,,,"True",,3,"R",,8,,"S1",,,,
"igic_pymes_IC_compras_7_bi","IGIC 7% Intracomunitario. Bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_472200","pgc_pymes_472200",4300,,,,"True",,,"R",,8,,"S1",,,,
